Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"59490692","35914069","70","There is not even close to a duplicate. [tag:vue.js] is a framework with a specific logic, different from vanila javascript","2016-03-10 12:10:42","","3178237","CC BY-SA 3.0"
"90580152","51812496","57","Could you please try `url('~@/assets/image.svg')`?","2018-08-12 20:34:51","","9258694","CC BY-SA 4.0"
"103431893","52586965","39","Upvoted b/c just pressing `CMD`+ `Shift` + `P` then **Format Document**, then choosing Prettier as my default formatter helped me :D","2019-10-25 09:59:23","","2430414","CC BY-SA 4.0"
"78584846","45813347","37","`created` is called earlier, so it makes sense to trigger data fetching from API backend for example.","2017-08-22 09:22:21","","7636961","CC BY-SA 3.0"
"82229084","47634258","36","The key concept to understand is that the DOM is updated *asynchronously*. When you change a value in Vue, the change is not *immediately* rendered to the DOM. Instead, Vue queues a DOM update and then, on a timer, updates the DOM. Normally, this happens so fast that it doesn't make a difference, but, at times, you need to update the rendered DOM after Vue has rendered it, which you can't immediately do in a method because the update hasn't happened yet. In those cases, you would use `nextTick`. [Documented here](https://vuejs.org/v2/guide/reactivity.html#Async-Update-Queue).","2017-12-04 14:34:15","","38065","CC BY-SA 3.0"
"79940085","35914069","27","How can this be accomplished without vue-router?","2017-09-29 16:07:05","","2031033","CC BY-SA 3.0"
"68066526","40408096","25","This is the most confusing thing about Vue in my opinion: Every `data` is `two-way` bound, but you can't pass `data` to components, you pass `props`, but you can't change the received `props` nor convert the `props` to `data`. Then what? One thing that I learned is that you should pass `props` down and trigger events up. That is, if the component wants to change the `props` it received, it should call an event and be ""rerendered"". But then you're left with a `one-way` binding exactly like React and I don't see the use for `data` then. Pretty confusing.","2016-11-03 17:56:55","","192729","CC BY-SA 3.0"
"109123609","35969974","24","hey you, google searcher! if you're reading this double check that it's forEach with a capital E instead of foreach....","2020-05-09 05:29:21","","1907888","CC BY-SA 4.0"
"90915365","50865828","21","@Jeff are you a politician, if not you should be. You just repeated the Ops question, but managed to make it look like an answer. LOL.","2018-08-23 09:50:13","","501827","CC BY-SA 4.0"
"78673500","45856929","20","You could do something like `next({ path: '/login?from=' + to.path })` and then check on your login page if the `from` query param is set and do a redirect","2017-08-24 09:28:19","","1230302","CC BY-SA 3.0"
