Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"37913482","1","","","2016-06-20 01:17:06","","-40","546","<p>I have the following code </p>

<pre><code>struct Physics {
    static let smallCoin : UInt32 = 0x1 &lt;&lt; 1
    static let smallCoin2 : UInt32 = 0x1 &lt;&lt; 2
    static let ground : UInt32 = 0x1 &lt;&lt; 3
}
</code></pre>

<p>I would like to know the meaning of </p>

<ul>
<li><code>static let</code></li>
<li><code>UInt32 = 0x1 &lt;&lt; 3</code></li>
</ul>
","6486990","","7177688","","2020-05-19 10:12:28","2021-02-28 15:47:40","Swift - static let and ""<<"" meaning","<ios><swift><struct><sprite-kit><swift2>","2","3","","","","CC BY-SA 4.0"
"42441382","1","42441428","","2017-02-24 14:40:44","","-33","405","<p>I am trying to convert yearly salary to weekly. So, 312,000 yearly salary should come out as $6000 weekly. </p>

<p>Here is my formula which is not giving the desired result: </p>

<pre><code>weeklySalary = (yearlySalary / 12) / 4
</code></pre>

<p>Also, how can I convert yearly to hourly! </p>
","810815","","1226963","","2017-02-24 14:50:09","2017-02-24 14:50:09","Converting Yearly Salary to Weekly in Swift","<swift><math>","1","3","","","","CC BY-SA 3.0"
"38776070","1","","","2016-08-04 19:42:25","","-30","374","<p>I don't really understand what 'Double' means. I am trying to write basic code for <code>suvat - mechanics equations</code>.</p>
<pre><code>let displacement = (initialVelocity*time) + (0.5*(acceleration*(time*time)))
</code></pre>
<p>The equation is <code>s = ut + 1/2at^2</code></p>
<pre><code>let initialVelocity = 3 
let acceleration = 2 
let time = 5 
let finalVelocity = initialVelocity + (acceleration * time) 
print (&quot;The final Velocity is (finalVelocity)&quot;) 
let half = 0.5 
let accelerationTimeSquared = acceleration * (time * time) 
let displacement = (initialVelocitytime) + (0.5 * (acceleration * (time * time))) 
print(&quot;The displacement is (displacement)&quot;)
</code></pre>
","6679726","","13170636","","2021-09-19 12:26:49","2021-09-19 12:26:49","What does ""Binary operator '*' cannot be applied to 'Double' and 'Int'"" Mean - What is Double?","<ios><swift>","2","4","0","2021-09-19 18:19:35","","CC BY-SA 4.0"
"41292565","1","41292674","","2016-12-22 22:29:32","","-19","4402","<p>I am trying to create an app (in swift) that will detect if a iPhone is in motion. </p>

<p>How would I go to approaching this?</p>
","6343183","","6343183","","2016-12-25 19:58:04","2020-10-20 04:18:07","How to detect if iPhone is in motion?","<ios><swift><xcode><swift3><ios10>","2","0","0","2018-09-21 12:00:53","","CC BY-SA 3.0"
"28883846","1","28884044","","2015-03-05 17:19:00","","-18","211","<pre><code>@IBAction func sliderMoved(slider:UISlider){
    currentValue = lroundf(slider.value)
}
</code></pre>
<p>I have this code, but what does <code>slider:UISlider</code> mean?</p>
","4637773","","63550","","2021-09-29 16:07:16","2021-09-29 16:07:16","In the Swift programming language, what does ""slider:UISlider"" mean?","<swift>","1","2","","","","CC BY-SA 4.0"
"31014336","1","","","2015-06-23 22:04:39","","-16","707","<p>I am having trouble debugging Swift Strings. I want to type in anything listed on the button. I do not want to say in advance about the Code. I get the error when I try to incorporate the following code:</p>

<p><strong>Full Code here:</strong>  <a href=""http://climbi.com/b/4444/0"" rel=""nofollow noreferrer"">http://climbi.com/b/4444/0</a></p>

<blockquote>
  <p>use of unresolved identifier string</p>
</blockquote>

<pre><code>@IBAction func Smile() {
    (textDocumentProxy as! UIKeyInput).insertText(""\(string!)""      
}
</code></pre>
","5039478","","10716450","","2019-12-27 10:38:37","2019-12-27 10:38:37","""use of unresolved identifier string"" Custom Keyboard","<ios><swift>","2","3","0","","","CC BY-SA 4.0"
"55396179","1","","","2019-03-28 11:12:57","","-15","624","<p>I am writing an <strong>iOS App</strong> in <strong>Swift 4.2</strong></p>

<p>Response from server is a string with values separated by pipe character ""|"". It contains many rows of values. I want to split it into an array of subarrays.</p>

<p>Response example:</p>

<blockquote>
  <p>""001|apple|red|002|banana|yellow|003|grapes|purple""</p>
</blockquote>

<p>For this example, the output should be an array containing 3 arrays of above fruits. If I use <code>response.componentsSeparatedByString(""|"")</code> it will give me an array with 9 elements, which I don't want. If I take the above example into consideration, what I need is an array of 3 arrays further having 3 elements.</p>

<p><strong>Expected Output:</strong></p>

<pre><code>[[001, ""apple"", ""red""], [002, ""banana"", ""yellow""], [003, ""grapes"", ""purple""]]
</code></pre>
","10422981","","2907715","","2019-03-30 10:52:48","2019-03-30 10:52:48","Split string into Array of Arrays","<ios><swift>","6","17","","2019-03-28 12:13:58","","CC BY-SA 4.0"
"48733965","1","48735557","","2018-02-11 16:54:00","","-15","135","<p>I'm following a tutorial and I didn't understand what I am supposed to do: </p>

<blockquote>
  <p>create a new Cocoa Touch class. Name it “AddCommentsViewController”, make it inherit from “UIViewController”</p>
</blockquote>

<p>I don't know and don't understand <code>inheriting</code></p>
","7099463","","7099463","","2018-02-11 16:59:30","2018-02-11 19:31:04","What is inheriting in swift 4","<ios><swift><inheritance>","2","4","0","","","CC BY-SA 3.0"
"57314839","1","","","2019-08-01 18:15:51","","-15","72","<p>With the new updates the current answers to this question seem obsolete. Currently I have an app where I would like to upload an image using an image picker. Please hint me towards the correct way of implementing this.</p>

<p>Thank you in advance!</p>
","11352799","","10514633","","2019-08-01 19:26:10","2019-08-01 19:26:10","Upload Images to Firebase IOS","<swift><xcode><firebase-realtime-database>","1","2","","2019-08-02 10:33:15","","CC BY-SA 4.0"
"41547775","1","41547805","","2017-01-09 12:08:23","","-14","120","<p>The snippet is </p>

<pre><code>let dateFormatter = DateFormatter()
dateFormatter.dateFormat = ""MM/DD/YY""
var String = ""12/19/16""
print(dateFormatter.date(from: String)!)
</code></pre>

<p>the output that i'm getting is : <strong>2016-12-18 18:30:00 +0000</strong></p>

<p>Can anyone predict why this is happening? and also help me finding the solution.
Thanks in advance.</p>
","4609268","","4609268","","2017-01-11 05:06:01","2017-01-12 22:21:02","Getting output which is not expected while formatting Date from string","<swift><nsdateformatter>","1","9","","","","CC BY-SA 3.0"
