Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"98161227","55646430","0","Obviously, you're still on Eclipse 2018-12 (4.10) instead of Eclipse 2019-03 (4.11) (see JAR file names containing `..._5.3.1.v20181005-...` instead of `..._5.4.0.v20190212-...`). Please [upgrade](https://wiki.eclipse.org/FAQ_How_do_I_upgrade_Eclipse_IDE%3F#Always_enable_major_upgrades).","2019-04-18 08:35:53","","6505250","CC BY-SA 4.0"
"98165580","55744361","0","@DaveyDaveDave I'd say that duplicate wouldn't help much in this case. There's no answer in there that would help here.","2019-04-18 10:48:47","","133203","CC BY-SA 4.0"
"31327963","20877034","0","related: http://stackoverflow.com/questions/8803149/how-to-web-inf-spring-webmvc-config-xml-configuration-in-spring-junit-tests-corr","2014-01-02 05:58:02","user180100","","CC BY-SA 3.0"
"98165805","55744361","0","I would recommend to keep file operations out of your unittests, this way the unittests are independend of a real environment with existing paths and they keep running fast. Just build an interface for all file operations, call this interface from your code and inside the unittest you can check whether the expected file operations where triggered.","2019-04-18 10:55:54","","575765","CC BY-SA 4.0"
"31327789","20877034","0","1)  You should really remove your personal contact information from here. 2)  It would help tons if you provided the test class you were talking about; from what it sounds like, the file path simply doesn't exist.  But we also don't fully understand how you're invoking the test.","2014-01-02 05:47:12","","1079354","CC BY-SA 3.0"
"13676","91981","0","You're factory could have it's own factories for each type it might construct (an Integer factory, a String factory, etc) but, you're right, that's veering toward overly complicated. You're assert instanceof test is probably the best way to go.","2008-09-18 12:48:32","","4893","CC BY-SA 2.5"
"64049612","38316535","0","This looks like duplicate of post http://stackoverflow.com/questions/2457239/injecting-mockito-mocks-into-a-spring-bean, and http://stackoverflow.com/questions/19808326/how-to-inject-a-mock-in-a-spring-context","2016-07-11 21:34:37","","5905741","CC BY-SA 3.0"
"64049841","38316535","0","@amitmah :-) Thanks a lot. I'll go through the answer that you posted.. Appreciate the help.","2016-07-11 21:45:30","","1787314","CC BY-SA 3.0"
"31322223","20866104","0","1st why do you write such hard to test code? Why there is in Registry class  method getHelper() that returns new instance of another class that use static factory to get a service? Maybe would be good to try refactor the code and everything would be more easier. Good luck","2014-01-01 22:35:34","","3087209","CC BY-SA 3.0"
"98165627","55744361","0","Okay. I solved it. Added @Before annotation + `MockitoAnnotations.initMocks(this);
        rankingSystemService = new RankingSystemService(contentFileRetrieverService);` Thanks guys.","2019-04-18 10:50:29","","10319470","CC BY-SA 4.0"
